项目名称,星标数量,链接
keras,58594,https://github.com/keras-team/keras
rich,43613,https://github.com/Textualize/rich
Deep-Learning-Papers-Reading-Roadmap,35366,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
shadowsocks,33399,https://github.com/shadowsocks/shadowsocks
TaskMatrix,33326,https://github.com/microsoft/TaskMatrix
black,32638,https://github.com/psf/black
python-cheatsheet,32633,https://github.com/gto76/python-cheatsheet
PaddleOCR,31086,https://github.com/PaddlePaddle/PaddleOCR
jieba,30770,https://github.com/fxsjy/jieba
fairseq,26470,https://github.com/facebookresearch/fairseq
streamlit,25312,https://github.com/streamlit/streamlit
stanford_alpaca,25079,https://github.com/tatsu-lab/stanford_alpaca
mmdetection,24598,https://github.com/open-mmlab/mmdetection
pipenv,23901,https://github.com/pypa/pipenv
jax,23518,https://github.com/google/jax
spleeter,22784,https://github.com/deezer/spleeter
OpenBBTerminal,22479,https://github.com/OpenBB-finance/OpenBBTerminal
Awesome-Linux-Software,19397,https://github.com/luong-komorebi/Awesome-Linux-Software
PythonRobotics,18961,https://github.com/AtsushiSakai/PythonRobotics
python-spider,16241,https://github.com/Jack-Cherish/python-spider
insightface,16009,https://github.com/deepinsight/insightface
prophet,16000,https://github.com/facebook/prophet
DeepFaceLive,14716,https://github.com/iperov/DeepFaceLive
baselines,14485,https://github.com/openai/baselines
vit-pytorch,14389,https://github.com/lucidrains/vit-pytorch
GHunt,13752,https://github.com/mxrch/GHunt
imgaug,13588,https://github.com/aleju/imgaug
ChatterBot,13346,https://github.com/gunthercox/ChatterBot
facenet,13099,https://github.com/davidsandberg/facenet
unilm,12770,https://github.com/microsoft/unilm
examples-of-web-crawlers,12138,https://github.com/shengqiangzhang/examples-of-web-crawlers
spotify-downloader,11882,https://github.com/spotDL/spotify-downloader
PaddleHub,11841,https://github.com/PaddlePaddle/PaddleHub
dvc,11641,https://github.com/iterative/dvc
dask,11108,https://github.com/dask/dask
Pillow,10905,https://github.com/python-pillow/Pillow
moviepy,10559,https://github.com/Zulko/moviepy
abu,10062,https://github.com/bbfamily/abu
theZoo,9808,https://github.com/ytisf/theZoo
amazing-qr,9730,https://github.com/x-hw/amazing-qr
scientific-visualization-book,9418,https://github.com/rougier/scientific-visualization-book
PaddleNLP,9417,https://github.com/PaddlePaddle/PaddleNLP
bpytop,9399,https://github.com/aristocratos/bpytop
jinja,9299,https://github.com/pallets/jinja
coursera-dl,9064,https://github.com/coursera-dl/coursera-dl
ultralytics,9050,https://github.com/ultralytics/ultralytics
gunicorn,8983,https://github.com/benoitc/gunicorn
fuzzywuzzy,8884,https://github.com/seatgeek/fuzzywuzzy
mlcourse.ai,8838,https://github.com/Yorko/mlcourse.ai
playwright-python,8835,https://github.com/microsoft/playwright-python
pytube,8789,https://github.com/pytube/pytube
http-prompt,8725,https://github.com/httpie/http-prompt
TextBlob,8598,https://github.com/sloria/TextBlob
pattern,8496,https://github.com/clips/pattern
localGPT,8442,https://github.com/PromtEngineer/localGPT
vid2vid,8266,https://github.com/NVIDIA/vid2vid
prowler,8220,https://github.com/prowler-cloud/prowler
boto3,8141,https://github.com/boto/boto3
ultimatevocalremovergui,8097,https://github.com/Anjok07/ultimatevocalremovergui
bottle,8007,https://github.com/bottlepy/bottle
elastalert,7909,https://github.com/Yelp/elastalert
gpt-neo,7879,https://github.com/EleutherAI/gpt-neo
iOS-DeviceSupport,7829,https://github.com/iGhibli/iOS-DeviceSupport
fluentui-emoji,7813,https://github.com/microsoft/fluentui-emoji
dagster,7654,https://github.com/dagster-io/dagster
gitfiti,7652,https://github.com/gelstudios/gitfiti
tensorboardX,7625,https://github.com/lanpa/tensorboardX
machine_learning_examples,7508,https://github.com/lazyprogrammer/machine_learning_examples
tortoise-tts,7470,https://github.com/neonbjb/tortoise-tts
pytorch3d,7387,https://github.com/facebookresearch/pytorch3d
universe,7385,https://github.com/openai/universe
pulse,7342,https://github.com/adamian98/pulse
docker-stacks,7333,https://github.com/jupyter/docker-stacks
pywal,7312,https://github.com/dylanaraps/pywal
QUANTAXIS,7292,https://github.com/yutiansut/QUANTAXIS
speech_recognition,7257,https://github.com/Uberi/speech_recognition
PaddleSeg,7243,https://github.com/PaddlePaddle/PaddleSeg
pandas-ai,7202,https://github.com/gventuri/pandas-ai
U-2-Net,7193,https://github.com/xuebinqin/U-2-Net
ajenti,7128,https://github.com/ajenti/ajenti
GPT2-Chinese,6984,https://github.com/Morizeyao/GPT2-Chinese
aws-shell,6929,https://github.com/awslabs/aws-shell
platformio-core,6831,https://github.com/platformio/platformio-core
OpenCore-Legacy-Patcher,6812,https://github.com/dortania/OpenCore-Legacy-Patcher
InfoSpider,6681,https://github.com/kangvcar/InfoSpider
akshare,6672,https://github.com/akfamily/akshare
ASRT_SpeechRecognition,6657,https://github.com/nl8590687/ASRT_SpeechRecognition
uvicorn,6645,https://github.com/encode/uvicorn
eve,6612,https://github.com/pyeve/eve
OneForAll,6494,https://github.com/shmilylty/OneForAll
sigma,6479,https://github.com/SigmaHQ/sigma
ImageBind,6456,https://github.com/facebookresearch/ImageBind
maybe,6376,https://github.com/p-e-w/maybe
nupic,6322,https://github.com/numenta/nupic
folium,6272,https://github.com/python-visualization/folium
nmt,6235,https://github.com/tensorflow/nmt
boltons,6218,https://github.com/mahmoud/boltons
Movie_Data_Capture,6208,https://github.com/yoshiko2/Movie_Data_Capture
cleanlab,6089,https://github.com/cleanlab/cleanlab
dejavu,6067,https://github.com/worldveil/dejavu
NLP_ability,5207,https://github.com/DA-southampton/NLP_ability
pipreqs,5183,https://github.com/bndr/pipreqs
r0capture,5071,https://github.com/r0ysue/r0capture
bert4keras,5060,https://github.com/bojone/bert4keras
Cura,5003,https://github.com/Ultimaker/Cura
uncaptcha2,4942,https://github.com/ecthros/uncaptcha2
transitions,4908,https://github.com/pytransitions/transitions
Track-Anything,4804,https://github.com/gaomingqi/Track-Anything
pygcn,4773,https://github.com/tkipf/pygcn
pylint,4713,https://github.com/pylint-dev/pylint
CTFd,4702,https://github.com/CTFd/CTFd
acme-tiny,4678,https://github.com/diafygi/acme-tiny
deep_sort,4574,https://github.com/nwojke/deep_sort
vyper,4544,https://github.com/vyperlang/vyper
django-ninja,4503,https://github.com/vitalik/django-ninja
gh-proxy,4490,https://github.com/hunshcn/gh-proxy
virtualenv,4480,https://github.com/pypa/virtualenv
deep-learning-roadmap,4459,https://github.com/instillai/deep-learning-roadmap
discover-flask,4410,https://github.com/realpython/discover-flask
ultimate-python,4401,https://github.com/huangsam/ultimate-python
Blasting_dictionary,4373,https://github.com/rootphantomer/Blasting_dictionary
python-pinyin,4356,https://github.com/mozillazg/python-pinyin
cookiecutter-flask,4355,https://github.com/cookiecutter-flask/cookiecutter-flask
imutils,4349,https://github.com/PyImageSearch/imutils
BERTopic,4346,https://github.com/MaartenGr/BERTopic
ECDICT,4338,https://github.com/skywind3000/ECDICT
LSTM-Neural-Network-for-Time-Series-Prediction,4337,https://github.com/jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction
web3.py,4290,https://github.com/ethereum/web3.py
openlibrary,4255,https://github.com/internetarchive/openlibrary
slither,4253,https://github.com/crytic/slither
w3af,4251,https://github.com/andresriancho/w3af
nicegui,4205,https://github.com/zauberzeug/nicegui
aws-cdk-examples,4187,https://github.com/aws-samples/aws-cdk-examples
jsonschema,4163,https://github.com/python-jsonschema/jsonschema
jwt_tool,4147,https://github.com/ticarpi/jwt_tool
pytorch-template,4141,https://github.com/victoresque/pytorch-template
codemod,4059,https://github.com/facebookarchive/codemod
Solaar,4037,https://github.com/pwr-Solaar/Solaar
yellowbrick,4018,https://github.com/DistrictDataLabs/yellowbrick
rebound,4015,https://github.com/shobrook/rebound
AITemplate,4003,https://github.com/facebookincubator/AITemplate
iGAN,3941,https://github.com/junyanz/iGAN
ECommerceCrawlers,3941,https://github.com/DropsDevopsOrg/ECommerceCrawlers
curio,3926,https://github.com/dabeaz/curio
Github-Ranking,3925,https://github.com/EvanLi/Github-Ranking
tf-quant-finance,3922,https://github.com/google/tf-quant-finance
flan,3917,https://github.com/cloudflare/flan
memory_profiler,3914,https://github.com/pythonprofilers/memory_profiler
livestreamer,3872,https://github.com/chrippa/livestreamer
dl-docker,3869,https://github.com/floydhub/dl-docker
stellar,3832,https://github.com/fastmonkeys/stellar
lark,3823,https://github.com/lark-parser/lark
dupeguru,3816,https://github.com/arsenetar/dupeguru
astropy,3815,https://github.com/astropy/astropy
layout-parser,3711,https://github.com/Layout-Parser/layout-parser
pandas-ta,3710,https://github.com/twopirllc/pandas-ta
stack-overflow-import,3682,https://github.com/drathier/stack-overflow-import
integration,3661,https://github.com/hacs/integration
python-docx,3658,https://github.com/python-openxml/python-docx
aiogram,3648,https://github.com/aiogram/aiogram
biopython,3635,https://github.com/biopython/biopython
YaLM-100B,3570,https://github.com/yandex/YaLM-100B
GET3D,3570,https://github.com/nv-tlabs/GET3D
twitter-scraper,3569,https://github.com/bisguzar/twitter-scraper
Awesome-PyTorch-Chinese,3536,https://github.com/INTERMT/Awesome-PyTorch-Chinese
sync-engine,3513,https://github.com/nylas/sync-engine
django-haystack,3431,https://github.com/django-haystack/django-haystack
mythril,3429,https://github.com/ConsenSys/mythril
openshot-qt,3416,https://github.com/OpenShot/openshot-qt
viztracer,3369,https://github.com/gaogaotiantian/viztracer
ByteTrack,3368,https://github.com/ifzhang/ByteTrack
wikiextractor,3349,https://github.com/attardi/wikiextractor
asciimatics,3342,https://github.com/peterbrittain/asciimatics
TikTok-Api,3327,https://github.com/davidteather/TikTok-Api
pytorch-semseg,3315,https://github.com/meetps/pytorch-semseg
text,3311,https://github.com/pytorch/text
confluent-kafka-python,3292,https://github.com/confluentinc/confluent-kafka-python
flasgger,3291,https://github.com/flasgger/flasgger
gpt-2-simple,3290,https://github.com/minimaxir/gpt-2-simple
flask_jsondash,3277,https://github.com/christabor/flask_jsondash
chatbot,3259,https://github.com/zhaoyingjun/chatbot
log4j-scan,3256,https://github.com/fullhunt/log4j-scan
model_search,3240,https://github.com/google/model_search
headphones,3234,https://github.com/rembo10/headphones
stargan-v2,3229,https://github.com/clovaai/stargan-v2
glide-text2im,3222,https://github.com/openai/glide-text2im
patator,3218,https://github.com/lanjelot/patator
pytorch-a2c-ppo-acktr-gail,3216,https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail
Auto-GPT-Plugins,3160,https://github.com/Significant-Gravitas/Auto-GPT-Plugins
dot,3155,https://github.com/sensity-ai/dot
catalyst,3138,https://github.com/catalyst-team/catalyst
acme,3128,https://github.com/deepmind/acme
videogrep,3120,https://github.com/antiboredom/videogrep
albert,3115,https://github.com/google-research/albert
football,3106,https://github.com/google-research/football
TikTokDownload,3092,https://github.com/Johnserf-Seed/TikTokDownload
outrun,3090,https://github.com/Overv/outrun
ShadowSocksShare,3076,https://github.com/the0demiurge/ShadowSocksShare
coding-problems,3062,https://github.com/MTrajK/coding-problems
LinkFinder,3044,https://github.com/GerbenJavado/LinkFinder
qiskit-terra,3641,https://github.com/Qiskit/qiskit-terra
open_model_zoo,3639,https://github.com/openvinotoolkit/open_model_zoo
pywebview,3602,https://github.com/r0x0r/pywebview
tensorflow-windows-wheel,3601,https://github.com/fo40225/tensorflow-windows-wheel
molecule,3599,https://github.com/ansible-community/molecule
line_profiler,3598,https://github.com/rkern/line_profiler
JdBuyer,3561,https://github.com/zas023/JdBuyer
wave,3547,https://github.com/h2oai/wave
CleanMyWechat,3519,https://github.com/blackboxo/CleanMyWechat
gmvault,3510,https://github.com/gaubert/gmvault
PRET,3500,https://github.com/RUB-NDS/PRET
aws-sdk-pandas,3492,https://github.com/aws/aws-sdk-pandas
nevergrad,3449,https://github.com/facebookresearch/nevergrad
whisperX,3445,https://github.com/m-bain/whisperX
keyboard,3428,https://github.com/boppreh/keyboard
gpustat,3419,https://github.com/wookayin/gpustat
coremltools,3418,https://github.com/apple/coremltools
py-googletrans,3418,https://github.com/ssut/py-googletrans
motioneye,3411,https://github.com/motioneye-project/motioneye
algorithm-exercise,3399,https://github.com/billryan/algorithm-exercise
transformer-xl,3397,https://github.com/kimiyoung/transformer-xl
python-twitter,3392,https://github.com/bear/python-twitter
wal-e,3386,https://github.com/wal-e/wal-e
TBomb,3374,https://github.com/TheSpeedX/TBomb
Instagram-,3370,https://github.com/Bitwise-01/Instagram-
flocker,3368,https://github.com/ClusterHQ/flocker
chartify,3349,https://github.com/spotify/chartify
Efficient-AI-Backbones,3328,https://github.com/huawei-noah/Efficient-AI-Backbones
pyqtgraph,3280,https://github.com/pyqtgraph/pyqtgraph
Crunch,3268,https://github.com/chrissimpkins/Crunch
markdown,3265,https://github.com/Python-Markdown/markdown
websocket-client,3251,https://github.com/websocket-client/websocket-client
skulpt,3246,https://github.com/skulpt/skulpt
fcn.berkeleyvision.org,3234,https://github.com/shelhamer/fcn.berkeleyvision.org
Minecraft-Overviewer,3231,https://github.com/overviewer/Minecraft-Overviewer
kubernetes-workshop,3213,https://github.com/eon01/kubernetes-workshop
pipfile,3195,https://github.com/pypa/pipfile
PyTorch-StudioGAN,3190,https://github.com/POSTECH-CVLab/PyTorch-StudioGAN
python-uncompyle6,3185,https://github.com/rocky/python-uncompyle6
colorama,3172,https://github.com/tartley/colorama
reinforcement-learning,3171,https://github.com/rlcode/reinforcement-learning
fiftyone,3159,https://github.com/voxel51/fiftyone
researchgpt,3152,https://github.com/mukulpatnaik/researchgpt
adminset,3136,https://github.com/guohongze/adminset
textdistance,3127,https://github.com/life4/textdistance
Real_Time_Image_Animation,3120,https://github.com/anandpawara/Real_Time_Image_Animation
pomegranate,3117,https://github.com/jmschrei/pomegranate
v2ex-gae,3105,https://github.com/livid/v2ex-gae
ansible-lint,3100,https://github.com/ansible/ansible-lint
xbmc-addons-chinese,3095,https://github.com/taxigps/xbmc-addons-chinese
PhotoGIMP,3094,https://github.com/Diolinux/PhotoGIMP
lda2vec,3091,https://github.com/cemoody/lda2vec
simpledet,3058,https://github.com/tusen-ai/simpledet
